X,Y,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,NOMBRE PAR
-58.4280848,-34.647427,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1489","1489 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4280848","-34,64742700","4",NUEVA POMPEYA,"101",,"143",I,"150",I,,,,,,,DEL BARCO CENTENERA
-58.4278879,-34.6476207,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1490","1490 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4278879","-34,64762070","4",NUEVA POMPEYA,"101",I,"143",V,,,,,,,,,DEL BARCO CENTENERA
-58.4250146,-34.6443772,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1041","1041 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4250146","-34,64437720","4",NUEVA POMPEYA,"23",V,"101",V,"143",I,,,,,,,AV. LA PLATA
-58.4238767,-34.6438717,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"980","980 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4238767","-34,64387170","4",NUEVA POMPEYA,"23",I,"101",I,"143",V,,,,,,,AV. LA PLATA
-58.4462341,-34.56916,CABILDO AV.,"937",937 CABILDO AV.,"-58,4462341","-34,56916000","14",PALERMO,"41",I,"63",,"67",I,,,,,,,TEODORO GARCIA
-58.4445841,-34.56997,CABILDO AV.,"777",777 CABILDO AV.,"-58,4445841","-34,56997000","14",PALERMO,"68",I,"161",I,,,,,,,,,OLLEROS
-58.4409215,-34.57188,CABILDO AV.,"435",435 CABILDO AV.,"-58,4409215","-34,57188000","14",PALERMO,"41",,"152",I,,,,,,,,,JORGE NEWBERY
-58.4404747,-34.57212,CABILDO AV.,"399",399 CABILDO AV.,"-58,4404747","-34,57212000","14",PALERMO,"57",I,"194",I,,,,,,,,,MATIENZO
-58.4191441,-34.6399492,CHICLANA AV.,"3920",3920 CHICLANA AV.,"-58,4191441","-34,63994920","4",NUEVA POMPEYA,"23",I,"101",I,"143",V,,,,,,,CASEROS
-58.396326,-34.6279777,JUAN DE GARAY AV.,"2273","2273 GARAY, JUAN DE AV.","-58,396326","-34,62797770","3",SAN CRISTOBAL,"4",V,,,,,,,,,,,PICHINCHA
-58.4415768,-34.57152,CABILDO AV.,"469",469 CABILDO AV.,"-58,4415768","-34,57152000","14",PALERMO,"67",I,"41",I,,,,,,,,,JORGE NEWBERY
-58.4422356,-34.57142,CABILDO AV.,"510",510 CABILDO AV.,"-58,4422356","-34,57142000","13",COLEGIALES,"57",V,"194",V,,,,,,,,,MAURE
-58.4428976,-34.57107,CABILDO AV.,"548",548 CABILDO AV.,"-58,4428976","-34,57107000","13",COLEGIALES,"41",,"152",V,"161",V,,,,,,,MAURE
-58.4434042,-34.57081,CABILDO AV.,"588",588 CABILDO AV.,"-58,4434042","-34,57081000","13",COLEGIALES,"68",V,"60",,"67",,,,,,,,GOROSTIAGA
-58.4465499,-34.56901,CABILDO AV.,"1009",1009 CABILDO AV.,"-58,4465499","-34,56901000","14",PALERMO,"59",I,"60",,"152",,,,,,,,PALPA
-58.4473442,-34.56886,CABILDO AV.,"1110",1110 CABILDO AV.,"-58,4473442","-34,56886000","13",COLEGIALES,"68",V,"152",V,,,,,,,,,AGUILAR
-58.4479065,-34.56857,CABILDO AV.,"1178",1178 CABILDO AV.,"-58,4479065","-34,56857000","13",COLEGIALES,"41",V,"161",V,,,,,,,,,AGUILAR
-58.4483705,-34.56834,CABILDO AV.,"1212",1212 CABILDO AV.,"-58,4483705","-34,56834000","13",COLEGIALES,"68",v,"60",,,,,,,,,,CESPEDES
-58.4487805,-34.56813,CABILDO AV.,"1280",1280 CABILDO AV.,"-58,4487805","-34,56813000","13",COLEGIALES,"63",I,"67",V,,,,,,,,,CESPEDES
-58.4491382,-34.56768,CABILDO AV.,"1309",1309 CABILDO AV.,"-58,4491382","-34,56768000","13",BELGRANO,"68",I,"161",I,,,,,,,,,ZABALA
-58.4493476,-34.56756,CABILDO AV.,"1373",1373 CABILDO AV.,"-58,4493476","-34,56756000","13",BELGRANO,"41",I,"67",I,"63",V,,,,,,,ZABALA
-58.4501351,-34.56714,CABILDO AV.,"1421",1421 CABILDO AV.,"-58,4501351","-34,56714000","13",BELGRANO,"59",I,"60",,"152",,,,,,,,VIRREY LORETO
-58.4510583,-34.5669,CABILDO AV.,"1508",1508 CABILDO AV.,"-58,4510583","-34,56690000","13",COLEGIALES,"41",,"63",I,"67",V,,,,,,,VIRREY ARREDONDO
-58.4515037,-34.56665,CABILDO AV.,"1546",1546 CABILDO AV.,"-58,4515037","-34,56665000","13",COLEGIALES,"59",V,"60",,"152",V,,,,,,,VIRREY ARREDONDO
-58.4520395,-34.56637,CABILDO AV.,"1574",1574 CABILDO AV.,"-58,4520395","-34,56637000","13",COLEGIALES,"68",V,"161",V,,,,,,,,,VIRREY ARREDONDO
-58.4171076,-34.6550641,INTEDENTE FRANCISCO RABANAL AV.,"1330","1330 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4171076","-34,65506410","4",NUEVA POMPEYA,"115",,"91",,,,,,,,,,SAENZ
-58.4177608,-34.6550164,INTEDENTE FRANCISCO RABANAL AV.,"1321","1321 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4177608","-34,65501640","4",NUEVA POMPEYA,"76",I,"91",,"115",,,,,,,,SAENZ
-58.5072057,-34.63453,JUAN B. JUSTO AV.,"8400","8400 JUSTO, JUAN B. AV.","-58,5072057","-34,63453000","10",VILLA LURO,"34",V,"99",I,"166",V,"172",V,,,,,CORTINA
-58.5214323,-34.6335903,JUAN B. JUSTO AV.,"9241","9241 JUSTO, JUAN B. AV.","-58,5214323","-34,63359030","10",VERSALLES,"108",I,,,,,,,,,,,
-58.5218158,-34.6336846,JUAN B. JUSTO AV.,"9251","9291 JUSTO, JUAN B. AV.","-58,5218158","-34,63368460","10",VERSALLES,"99",I,,,,,,,,,,,
-58.4616481,-34.55619,CABILDO AV.,"2811",2811 CABILDO AV.,"-58,4616481","-34,55619000","13",BELGRANO,"152",I,,,,,,,,,,,UGARTE
-58.4619372,-34.55588,CABILDO AV.,"2847",2847 CABILDO AV.,"-58,4619372","-34,55588000","13",BELGRANO,"59",I,"133",I,,,,,,,,,UGARTE
-58.4621943,-34.55561,CABILDO AV.,"2897",2897 CABILDO AV.,"-58,4621943","-34,55561000","13",BELGRANO,"68",I,"161",I,,,,,,,,,UGARTE
-58.4626415,-34.55514,CABILDO AV.,"2921",2921 CABILDO AV.,"-58,4626415","-34,55514000","13",NUÑEZ,"168",I,"184",I,,,,,,,,,CONGRESO
-58.4645751,-34.55319,CABILDO AV.,"3127",3127 CABILDO AV.,"-58,4645751","-34,55319000","13",NUÑEZ,"59",I,"152",I,,,,,,,,,IBERA
-58.4648003,-34.55291,CABILDO AV.,"3161",3161 CABILDO AV.,"-58,4648003","-34,55291000","13",NUÑEZ,"68",I,"161",I,,,,,,,,,IBERA
-58.4651109,-34.55253,CABILDO AV.,"3225",3225 CABILDO AV.,"-58,4651109","-34,55253000","13",NUÑEZ,"60",I,,,,,,,,,,,IBERA
-58.4654189,-34.55215,CABILDO AV.,"3273",3273 CABILDO AV.,"-58,4654189","-34,55215000","13",NUÑEZ,"133",I,"168",I,,,,,,,,,IBERA
-58.4656801,-34.55183,CABILDO AV.,"3307",3307 CABILDO AV.,"-58,4656801","-34,55183000","13",NUÑEZ,"29",I,"184",I,,,,,,,,,CAMPO SALLES
-58.4675996,-34.5495985,CABILDO AV.,"3611",3611 CABILDO AV.,"-58,4675996","-34,54959850","13",NUÑEZ,"59",I,"152",I,,,,,,,,,NU�EZ
-58.4677541,-34.5493959,CABILDO AV.,"3631",3631 CABILDO AV.,"-58,4677541","-34,54939590","13",NUÑEZ,"60",I,"68",I,"161",I,,,,,,,NU�EZ
-58.4678816,-34.549227,CABILDO AV.,"3663",3663 CABILDO AV.,"-58,4678816","-34,54922700","13",NUÑEZ,"133",I,"168",I,"184",I,,,,,,,NU�EZ
-58.4702061,-34.5462263,CABILDO AV.,"4077",4077 CABILDO AV.,"-58,4702061","-34,54622630","13",NUÑEZ,"59",I,"152",I,,,,,,,,,VILELA
-58.4705258,-34.5457963,CABILDO AV.,"4179",4179 CABILDO AV.,"-58,4705258","-34,54579630","13",NUÑEZ,"60",I,"133",I,,,,,,,,,BESARES
-58.4721739,-34.5435398,CABILDO AV.,"4415",4415 CABILDO AV.,"-58,4721739","-34,54353980","13",NUÑEZ,"59",I,"152",I,,,,,,,,,RAMALLO
-58.4727494,-34.5427998,CABILDO AV.,"4541",4541 CABILDO AV.,"-58,4727494","-34,54279980","13",NUÑEZ,"60",I,"133",I,,,,,,,,,ARIAS
-58.4605123,-34.5577972,CABILDO AV.,"2520",2520 CABILDO AV.,"-58,4605123","-34,55779720","13",BELGRANO,"29",V,"41",V,"60",V,,,,,,,MONROE
-58.4602783,-34.5580655,CABILDO AV.,"2520",2520 CABILDO AV.,"-58,4602783","-34,55806550","13",BELGRANO,"59",,"152",V,"161",V,,,,,,,MONROE
-58.459663,-34.5586629,CABILDO AV.,"2460",2460 CABILDO AVE,"-58,459663","-34,55866290","13",BELGRANO,"68",,"168",V,"184",V,,,,,,,BLANCO ENCALADA
-58.4593279,-34.5588575,CABILDO AV.,"2427",2427 CABILDO AV,"-58,4593279","-34,55885750","13",BELGRANO,"161",I,"168",I,,,,,,,,,BLANCO ENCALADA
-58.4587462,-34.55945,CABILDO AV.,"2363",2363 CABILDO AV.,"-58,4587462","-34,55945000","13",BELGRANO,"41",I,"68",I,,,,,,,,,OLAZABAL
-58.4586443,-34.55957,CABILDO AV.,"2349",2349 CABILDO AV.,"-58,4586443","-34,55957000","13",BELGRANO,"29",I,"60",I,,,,,,,,,OLAZABAL
-58.4584228,-34.55982,CABILDO AV.,"2323",2323 CABILDO AV.,"-58,4584228","-34,55982000","13",BELGRANO,"59",I,"152",I,,,,,,,,,OLAZABAL
-58.4582894,-34.56036,CABILDO AV.,"2230",2230 CABILDO AV.,"-58,4582894","-34,56036000","13",BELGRANO,"60",V,"29",,,,,,,,,,MENDOZA
-58.4580294,-34.56066,CABILDO AV.,"2252",2252 CABILDO AV.,"-58,4580294","-34,56066000","13",BELGRANO,"41",V,"59",,"161",,,,,,,,MENDOZA
-58.4577435,-34.561,CABILDO AV.,"2210",2210 CABILDO AV.,"-58,4577435","-34,56100000","13",BELGRANO,"152",V,"68",V,,,,,,,,,MENDOZA
-58.4571723,-34.56129,CABILDO AV.,"2171",2171 CABILDO AV.,"-58,4571723","-34,56129000","13",BELGRANO,"57",I,"194",I,,,,,,,,,JURAMENTO
-58.4294952,-34.58123,JUAN B. JUSTO AV.,"955","955 JUSTO, JUAN B. AV.","-58,4294952","-34,58123000","14",PALERMO,"166",I,"34",I,,,,,,,,,GUATEMALA
-58.4344466,-34.585,JUAN B. JUSTO AV.,"1463","1463 JUSTO, JUAN B. AV.","-58,4344466","-34,58500000","14",PALERMO,"166",I,"34",I,,,,,,,,,HONDURAS
-58.4385088,-34.6561804,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2613","2613 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4385088","-34,65618040","8",VILLA SOLDATI,"76",,"150",,"101",,"23",I,"143",V,,,VARELA
-58.438053,-34.6551306,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2587","2587 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,438053","-34,65513060","7",FLORES,"150",I,"143",I,"101",V,,,,,,,VARELA
-58.4346318,-34.65333,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2248","2248 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4346318","-34,65333000","8",VILLA SOLDATI,"143",V,"46",,"150",V,"101",,,,,,SAN LORENZO
-58.4342743,-34.6527126,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2151","2151 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4342743","-34,65271260","7",FLORES,"143",I,"46",,"150",I,"101",V,,,,,SAN LORENZO
-58.4318901,-34.6507473,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1851","1851 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4318901","-34,65074730","7",FLORES,"46",,"143",I,"150",I,"101",V,,,,,PERITO MORENO
-58.4429624,-34.65986,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"3036","3036 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4429624","-34,65986000","8",VILLA SOLDATI,"101",I,"150",,"23",I,"143",V,,,,,LAFUENTE
-58.4425143,-34.6591933,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"2993","2993 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4425143","-34,65919330","8",VILLA SOLDATI,"23",V,"76",,"101",V,"143",I,"150",,,,LAFUENTE
-58.445733,-34.6619948,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"3324","3324 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,445733","-34,66199480","8",VILLA SOLDATI,"101",I,"143",V,"150",V,,,,,,,MARIANO ACOSTA
-58.4452531,-34.66144,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"3259","3259 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4452531","-34,66144000","8",VILLA SOLDATI,"101",,"143",I,"150",I,,,,,,,MARIANO ACOSTA
-58.4484401,-34.6638067,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"3559","3559 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4484401","-34,66380670","8",VILLA SOLDATI,"101",,"143",I,"150",I,,,,,,,LAGUNA
-58.4482176,-34.6639218,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"3540","3540 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4482176","-34,66392180","8",VILLA SOLDATI,"101",I,"143",V,"150",V,,,,,,,LAGUNA
-58.4570429,-34.6710808,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"4261",4261 FERNANDEZ DE LA CRUZ F GRAL AVE,"-58,4570429","-34,67108080","8",VILLA SOLDATI,"101",,"143",I,"150",I,,,,,,,CECILIA GRIERSON
-58.4566942,-34.6711487,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"4262",4262 FERNANDEZ DE LA CRUZ F GRAL AVE,"-58,4566942","-34,67114870","8",VILLA SOLDATI,"101",I,"143",V,"150",V,,,,,,,CECILIA GRIERSON
-58.4608864,-34.6744673,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"4543","4543 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4608864","-34,67446730","8",VILLA LUGANO,"101",,"114",I,"143",I,"150",I,,,,,ESCALADA
-58.4603363,-34.6745479,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"4452","4452 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4603363","-34,67454790","8",VILLA LUGANO,"101",I,"114",V,"143",V,"150",V,,,,,ESCALADA
